,区間,特徴,推奨ペース,ラップ,通過タイム
0,0 - 1 km,,5:22,5:20,0:05:20
1,1 - 2 km,,4:57,4:59,0:10:19
2,2 - 3 km,,4:56,4:54,0:15:14
3,3 - 4 km,,4:53,4:50,0:20:05
4,4 - 5 km,,4:58,4:58,0:25:03
5,5 - 6 km,,4:53,4:53,0:29:57
6,6 - 7 km,,4:57,4:57,0:34:55
7,7 - 8 km,平田の坂 (往路),5:14,5:13,0:40:08
8,8 - 9 km,,5:09,5:07,0:45:16
9,9 - 10 km,,5:00,5:00,0:50:16
10,10 - 11 km,海岸線,5:00,3:54,0:54:11
11,11 - 12 km,海岸線,4:51,2:09,0:56:21
12,12 - 13 km,海岸線,4:57,4:57,1:01:19
13,13 - 14 km,海岸線,5:07,5:07,1:06:27
14,14 - 15 km,海岸線,5:04,5:02,1:11:29
15,15 - 16 km,海岸線,5:05,5:03,1:16:33
16,16 - 17 km,海岸線,4:54,4:51,1:21:24
17,17 - 18 km,海岸線,5:01,5:01,1:26:26
18,18 - 19 km,海岸線,5:06,5:06,1:31:33
19,19 - 20 km,海岸線,5:00,5:00,1:36:33
20,20 - 21 km,海岸線,5:02,5:02,1:41:36
21,21 - 22 km,海岸線,5:08,5:08,1:46:44
22,22 - 23 km,海岸線,4:53,4:51,1:51:36
23,23 - 24 km,海岸線,4:58,4:58,1:56:35
24,24 - 25 km,海岸線,5:05,5:05,2:01:40
25,25 - 26 km,海岸線,4:57,4:57,2:06:37
26,26 - 27 km,海岸線,5:04,5:04,2:11:42
27,27 - 28 km,海岸線,4:55,4:55,2:16:38
28,28 - 29 km,海岸線,5:04,5:04,2:21:42
29,29 - 30 km,海岸線,5:03,5:03,2:26:45
30,30 - 31 km,海岸線,5:03,5:03,2:31:49
31,31 - 32 km,海岸線,4:57,4:55,2:36:45
32,32 - 33 km,海岸線,5:01,5:00,2:41:46
33,33 - 34 km,海岸線,5:24,1:43,2:43:29
34,34 - 35 km,,4:57,4:23,2:47:52
35,35 - 36 km,,5:23,5:23,2:53:16
36,36 - 37 km,平田の坂 (復路),5:23,5:21,2:58:37
37,37 - 38 km,,4:51,4:51,3:03:28
38,38 - 39 km,,4:58,4:58,3:08:27
39,39 - 40 km,,5:06,5:06,3:13:33
40,40 - 41 km,,5:05,5:05,3:18:39
41,41 - 42 km,,4:54,4:54,3:23:33
42,42 - 43 km,,5:01,2:53,3:26:26
